1457;"grass"
1459;"cave_grass"
1486;"cave_torch"
1489;"big_tree"
1492;"small_tree"
1495;"cave_inside_corner_bottom_right"
1498;"cave_outside_corner_top_left"
1501;"cave_inside_corner_bottom_left"
1504;"cave_inside_corner_top_left"
1507;"cave_inside_corner_top_right"
1510;"cave_edge_bottom"
1513;"cave_edge_top"
1516;"cave_edge_left"
1519;"cave_edge_right"
1522;"grass_top_middle_2"
1525;"grass_top_middle_1"
1528;"grass_top_left"
1531;"grass_top_right"
1534;"earth_edge_middle_2"
1537;"earth_edge_middle_1"
1540;"earth_edge_left"
1543;"earth_edge_right"
1546;"eartyh_bottom_middle"
1549;"earth_bottom_right"
1552;"earth_bottom_left"
1555;"single_grass_2"
1558;"single_grass_1"
1575;"tile_ripple_right"
1592;"tile_ripple_left"
1609;"tile_ripple_middle"
1651;"water"
1725;"treasureChest"
1780;"splash"
1785;"explosion"
1813;"cursor"
1817;"cancel weapon button red"
1820;"cancel weapon button blue"
1831;"weapons icon"
1839;"weapons button copy"
1844;"finish turn button"
1847;"cancel player button red"
1850;"cancel player button blue"
1855;"weapon select"
1858;"pin"
1864;"health"
1884;"characterOverlay"
1895;"map"
1896;"ingame text area"
1898;"dottedLine"
1900;"rangeCircle"
1901;"boat_ripple_4"
