symbol_id,tag_type,linkage_names,timeline_frames,bitmap_width,bitmap_height
1703,DefineShapeTag,,,,
1704,DefineBitsLossless2Tag,,,18,17
1705,DefineShapeTag,,,,
1706,DefineBitsLossless2Tag,,,18,17
1707,DefineShapeTag,,,,
1708,DefineBitsLossless2Tag,,,18,17
1709,DefineShapeTag,,,,
1710,DefineBitsLossless2Tag,,,18,17
1711,DefineShapeTag,,,,
1712,DefineBitsLossless2Tag,,,18,17
1713,DefineShapeTag,,,,
1714,DefineBitsLossless2Tag,,,18,17
1715,DefineShapeTag,,,,
1716,DefineBitsLossless2Tag,,,18,17
1717,DefineShapeTag,,,,
1718,DefineBitsLossless2Tag,,,18,17
1719,DefineShapeTag,,,,
1720,DefineSpriteTag,,170,,
1721,DefineBitsLossless2Tag,,,26,26
1722,DefineShapeTag,,,,
1723,DefineSpriteTag,,20,,
1724,DefineSpriteTag,,1,,
1725,DefineSpriteTag,treasureChest,90,,
1726,DefineBitsLossless2Tag,,,48,44
1727,DefineShapeTag,,,,
1728,DefineBitsLossless2Tag,,,48,44
1729,DefineShapeTag,,,,
1730,DefineBitsLossless2Tag,,,48,44
1731,DefineShapeTag,,,,
1732,DefineBitsLossless2Tag,,,48,44
1733,DefineShapeTag,,,,
1734,DefineBitsLossless2Tag,,,48,44
1735,DefineShapeTag,,,,
1736,DefineBitsLossless2Tag,,,48,44
1737,DefineShapeTag,,,,
1738,DefineBitsLossless2Tag,,,48,44
1739,DefineShapeTag,,,,
1740,DefineBitsLossless2Tag,,,48,44
1741,DefineShapeTag,,,,
1742,DefineBitsLossless2Tag,,,48,44
1743,DefineShapeTag,,,,
1744,DefineBitsLossless2Tag,,,48,44
1745,DefineShapeTag,,,,
1746,DefineBitsLossless2Tag,,,48,44
1747,DefineShapeTag,,,,
1748,DefineBitsLossless2Tag,,,48,44
1749,DefineShapeTag,,,,
1750,DefineBitsLossless2Tag,,,48,44
1751,DefineShapeTag,,,,
1752,DefineBitsLossless2Tag,,,48,44
1753,DefineShapeTag,,,,
1754,DefineBitsLossless2Tag,,,48,44
1755,DefineShapeTag,,,,
1756,DefineBitsLossless2Tag,,,48,44
1757,DefineShapeTag,,,,
1758,DefineBitsLossless2Tag,,,48,44
1759,DefineShapeTag,,,,
1760,DefineBitsLossless2Tag,,,48,44
1761,DefineShapeTag,,,,
1762,DefineBitsLossless2Tag,,,48,44
1763,DefineShapeTag,,,,
1764,DefineBitsLossless2Tag,,,48,44
1765,DefineShapeTag,,,,
1766,DefineBitsLossless2Tag,,,48,44
1767,DefineShapeTag,,,,
1768,DefineBitsLossless2Tag,,,48,44
1769,DefineShapeTag,,,,
1770,DefineBitsLossless2Tag,,,48,44
1771,DefineShapeTag,,,,
1772,DefineBitsLossless2Tag,,,48,44
1773,DefineShapeTag,,,,
1774,DefineBitsLossless2Tag,,,48,44
1775,DefineShapeTag,,,,
1776,DefineBitsLossless2Tag,,,48,44
1777,DefineShapeTag,,,,
1778,DefineBitsLossless2Tag,,,48,44
1779,DefineShapeTag,,,,
1780,DefineSpriteTag,splash,72,,
1781,DefineShapeTag,,,,
1782,DefineShapeTag,,,,
1783,DefineMorphShapeTag,,,,
1784,DefineShapeTag,,,,
1785,DefineSpriteTag,explosion,8,,
1786,DefineBitsLossless2Tag,,,22,22
1787,DefineShapeTag,,,,
1788,DefineBitsLossless2Tag,,,19,21
1789,DefineShapeTag,,,,
1790,DefineBitsLossless2Tag,,,20,10
1791,DefineShapeTag,,,,
1792,DefineBitsLossless2Tag,,,21,19
1793,DefineShapeTag,,,,
1794,DefineBitsLossless2Tag,,,19,21
1795,DefineShapeTag,,,,
1796,DefineBitsLossless2Tag,,,19,20
1797,DefineShapeTag,,,,
1798,DefineBitsLossless2Tag,,,31,21
1799,DefineShapeTag,,,,
1800,DefineBitsLossless2Tag,,,31,21
1801,DefineShapeTag,,,,
1802,DefineBitsLossless2Tag,,,31,21
1803,DefineShapeTag,,,,
1804,DefineBitsLossless2Tag,,,31,21
1805,DefineShapeTag,,,,
1806,DefineSpriteTag,,4,,
1807,DefineBitsLossless2Tag,,,19,19
1808,DefineShapeTag,,,,
1809,DefineBitsLossless2Tag,,,13,21
1810,DefineShapeTag,,,,
1811,DefineBitsLossless2Tag,,,16,16
1812,DefineShapeTag,,,,
1813,DefineSpriteTag,cursor,95,,
1814,DefineBitsLossless2Tag,,,20,20
1815,DefineShapeTag,,,,
1816,DefineShape3Tag,,,,
1817,DefineSpriteTag,cancel weapon button red,19,,
1818,DefineBitsLossless2Tag,,,20,20
1819,DefineShapeTag,,,,
1820,DefineSpriteTag,cancel weapon button blue,19,,
1821,DefineBitsLossless2Tag,,,24,36
1822,DefineShapeTag,,,,
1823,DefineBitsLossless2Tag,,,24,36
1824,DefineShapeTag,,,,
1825,DefineBitsLossless2Tag,,,18,9
1826,DefineShapeTag,,,,
1827,DefineSpriteTag,,1,,
1828,DefineShape3Tag,,,,
1829,DefineBitsLossless2Tag,,,24,36
1830,DefineShapeTag,,,,
1831,DefineSpriteTag,weapons icon,50,,
1832,DefineBitsLossless2Tag,,,86,57
1833,DefineShapeTag,,,,
1834,DefineBitsLossless2Tag,,,86,57
1835,DefineShapeTag,,,,
1836,DefineShape3Tag,,,,
1837,DefineBitsLossless2Tag,,,86,57
1838,DefineShapeTag,,,,
1839,DefineSpriteTag,weapons button copy,46,,
1840,DefineBitsLossless2Tag,,,86,57
1841,DefineShapeTag,,,,
1842,DefineBitsLossless2Tag,,,86,57
1843,DefineShapeTag,,,,
1844,DefineSpriteTag,finish turn button,38,,
1845,DefineBitsLossless2Tag,,,20,20
1846,DefineShapeTag,,,,
1847,DefineSpriteTag,cancel player button red,19,,
1848,DefineBitsLossless2Tag,,,20,20
1849,DefineShapeTag,,,,
1850,DefineSpriteTag,cancel player button blue,19,,
1851,DefineBitsLossless2Tag,,,271,247
1852,DefineShapeTag,,,,
1853,DefineBitsLossless2Tag,,,271,247
1854,DefineShapeTag,,,,
1855,DefineSpriteTag,weapon select,20,,
1856,DefineBitsLossless2Tag,,,8,8
1857,DefineShapeTag,,,,
1858,DefineSpriteTag,pin,1,,
1859,DefineBitsLossless2Tag,,,30,6
1860,DefineShapeTag,,,,
1861,DefineMorphShapeTag,,,,
1862,DefineShapeTag,,,,
1863,DefineShapeTag,,,,
1864,DefineSpriteTag,health,28,,
1865,DefineShapeTag,,,,
1866,DefineSpriteTag,,1,,
1867,DefineBitsLossless2Tag,,,16,23
1868,DefineShapeTag,,,,
1869,DefineSpriteTag,,22,,
1870,DefineBitsLossless2Tag,,,41,42
1871,DefineShapeTag,,,,
1872,DefineSpriteTag,,1,,
1873,DefineShapeTag,,,,
1874,DefineMorphShapeTag,,,,
1875,DefineShapeTag,,,,
1876,DefineShapeTag,,,,
1877,DefineSpriteTag,,28,,
1878,DefineBitsLossless2Tag,,,16,23
1879,DefineShapeTag,,,,
1880,DefineSpriteTag,,22,,
1881,DefineBitsLossless2Tag,,,24,23
1882,DefineShapeTag,,,,
1883,DefineSpriteTag,,22,,
1884,DefineSpriteTag,characterOverlay,30,,
1885,DefineShape3Tag,,,,
1886,DefineSpriteTag,,1,,
1887,DefineShape3Tag,,,,
1888,DefineSpriteTag,,1,,
1889,DefineShape3Tag,,,,
1890,DefineSpriteTag,,1,,
1891,DefineShape3Tag,,,,
1892,DefineSpriteTag,,1,,
1893,DefineShape3Tag,,,,
1894,DefineSpriteTag,,1,,
1895,DefineSpriteTag,map,1,,
1896,DefineSpriteTag,ingame text area,1,,
1897,DefineShape3Tag,,,,
1898,DefineSpriteTag,dottedLine,1,,
1899,DefineShape4Tag,,,,
1900,DefineSpriteTag,rangeCircle,1,,
1901,DefineSpriteTag,boat_ripple_4,16,,
1902,DefineShapeTag,,,,
1903,DefineBitsLossless2Tag,,,436,141
1904,DefineShape2Tag,,,,
1905,DefineShapeTag,,,,
1906,DefineBitsLossless2Tag,,,436,141
1907,DefineShapeTag,,,,
1908,DefineSpriteTag,,1,,
1909,DefineButton2Tag,,,,
1910,DefineSpriteTag,,89,,
1911,DefineShapeTag,,,,
1912,DefineBitsLossless2Tag,,,192,143
1913,DefineShapeTag,,,,
1914,DefineButton2Tag,,,,
1915,DefineBitsLossless2Tag,,,192,143
1916,DefineShapeTag,,,,
1917,DefineMorphShapeTag,,,,
1918,DefineMorphShapeTag,,,,
1919,DefineShapeTag,,,,
1920,DefineShapeTag,,,,
1921,DefineMorphShapeTag,,,,
1922,DefineSpriteTag,,89,,
1923,DefineBitsLossless2Tag,,,141,11
1924,DefineShapeTag,,,,
1925,DefineButton2Tag,,,,
1926,DefineBitsLossless2Tag,,,452,154
1927,DefineShapeTag,,,,
1928,DefineSpriteTag,,1,,
1929,DefineBitsLossless2Tag,,,462,352
1930,DefineShapeTag,,,,
1931,DefineBitsLossless2Tag,,,10,6
1932,DefineShapeTag,,,,
1933,DefineButton2Tag,,,,
1934,DefineBitsLossless2Tag,,,102,66
1935,DefineShape2Tag,,,,
1936,DefineShape4Tag,,,,
1937,DefineMorphShape2Tag,,,,
1938,DefineBitsLossless2Tag,,,24,23
1939,DefineShapeTag,,,,
1940,DefineBitsLossless2Tag,,,24,23
1941,DefineShape2Tag,,,,
1942,DefineBitsLossless2Tag,,,22,22
1943,DefineShapeTag,,,,
1944,DefineBitsLossless2Tag,,,12,21
1945,DefineShapeTag,,,,
1946,DefineSpriteTag,,1,,
1947,DefineShape4Tag,,,,
1948,DefineShapeTag,,,,
1949,DefineMorphShapeTag,,,,
1950,DefineMorphShape2Tag,,,,
1951,DefineShape4Tag,,,,
1952,DefineSpriteTag,,160,,
1953,DefineBitsLossless2Tag,,,460,350
1954,DefineShapeTag,,,,
1955,DefineBitsLossless2Tag,,,86,80
1956,DefineBitsLossless2Tag,,,86,80
1957,DefineShape2Tag,,,,
1958,DefineBitsLossless2Tag,,,460,350
1959,DefineShapeTag,,,,
1960,DefineShape2Tag,,,,
1961,DefineSpriteTag,,1,,
1962,DefineBitsLosslessTag,,,550,400
1963,DefineShapeTag,,,,
1964,DefineBitsLossless2Tag,,,75,42
1965,DefineBitsLossless2Tag,,,83,40
1966,DefineBitsLossless2Tag,,,100,48
1967,DefineBitsLossless2Tag,,,74,39
1968,DefineShape2Tag,,,,
1969,DefineSpriteTag,,1,,
1970,DefineBitsLossless2Tag,,,801,291
1971,DefineShape2Tag,,,,
1972,DefineSpriteTag,,1,,
1973,DefineBitsLossless2Tag,,,108,55
1974,DefineShape2Tag,,,,
1975,DefineSpriteTag,,1,,
1976,DefineBitsLossless2Tag,,,550,154
1977,DefineShape2Tag,,,,
1978,DefineSpriteTag,,1,,
1979,DefineShapeTag,,,,
1980,DefineSpriteTag,,1,,
1981,DefineBitsLosslessTag,,,550,400
1982,DefineShapeTag,,,,
1983,DefineBitsLossless2Tag,,,75,42
1984,DefineBitsLossless2Tag,,,83,40
1985,DefineBitsLossless2Tag,,,100,48
1986,DefineBitsLossless2Tag,,,74,39
1987,DefineShape2Tag,,,,
1988,DefineSpriteTag,,1,,
1989,DefineBitsLossless2Tag,,,801,291
1990,DefineShape2Tag,,,,
1991,DefineSpriteTag,,1,,
1992,DefineBitsLossless2Tag,,,108,55
1993,DefineShape2Tag,,,,
1994,DefineSpriteTag,,1,,
1995,DefineBitsLossless2Tag,,,550,154
1996,DefineShape2Tag,,,,
1997,DefineSpriteTag,,1,,
1998,DefineSpriteTag,,30,,
1999,DefineBitsLossless2Tag,,,22,21
2000,DefineBitsLossless2Tag,,,132,34
2001,DefineShape2Tag,,,,
2002,DefineMorphShapeTag,,,,
2003,DefineShapeTag,,,,
2004,DefineSpriteTag,,97,,
2005,DefineBitsLossless2Tag,,,132,34
2006,DefineShapeTag,,,,
2007,DefineBitsLossless2Tag,,,22,21
2008,DefineShapeTag,,,,
2009,DefineSpriteTag,,33,,
2010,DefineMorphShapeTag,,,,
2011,DefineSpriteTag,,97,,
2012,DefineSpriteTag,__Packages.com.nitrome.pirate.MenuBackgroundAnim,0,,
2013,DefineSpriteTag,__Packages.com.nitrome.game.Preloader,0,,
2014,DefineSpriteTag,__Packages.NitromeGame,0,,
2015,DefineSpriteTag,__Packages.com.nitrome.util.MD5,0,,
2016,DefineSpriteTag,__Packages.com.nitrome.game.TransitionTween,0,,
2017,DefineSpriteTag,__Packages.com.nitrome.buttons.SimpleButton,0,,
2018,DefineSpriteTag,__Packages.com.nitrome.buttons.QuitGameButton,0,,
2019,DefineSpriteTag,__Packages.com.nitrome.throwgame.Controller,0,,
2020,DefineSpriteTag,__Packages.com.nitrome.game.IngameTextArea,0,,
2021,DefineSpriteTag,__Packages.com.nitrome.throwgame.TileSystem,0,,
2022,DefineSpriteTag,__Packages.com.nitrome.util.Clip,0,,
2023,DefineSpriteTag,__Packages.com.nitrome.throwgame.Solid,0,,
2024,DefineSpriteTag,__Packages.com.nitrome.throwgame.Debris,0,,
2025,DefineSpriteTag,__Packages.com.senocular.drawing.DashedLine,0,,
2026,DefineSpriteTag,__Packages.com.nitrome.throwgame.Weapon,0,,
2027,DefineSpriteTag,__Packages.com.nitrome.util.Trig,0,,
2028,DefineSpriteTag,__Packages.com.nitrome.throwgame.BoxWeapon,0,,
2029,DefineSpriteTag,__Packages.com.nitrome.throwgame.GunpowderBarrel,0,,
2030,DefineSpriteTag,__Packages.com.nitrome.throwgame.Explosion,0,,
2031,DefineSpriteTag,__Packages.com.nitrome.throwgame.Team,0,,
2032,DefineSpriteTag,__Packages.com.nitrome.util.Global,0,,
2033,DefineSpriteTag,__Packages.com.nitrome.throwgame.WoodenCrate,0,,
2034,DefineSpriteTag,__Packages.com.nitrome.throwgame.TreasureChest,0,,
2035,DefineSpriteTag,__Packages.com.nitrome.game.SimpleButton,0,,
2036,DefineSpriteTag,__Packages.com.nitrome.game.WeaponSelectButton,0,,
2037,DefineSpriteTag,__Packages.com.nitrome.game.WeaponSelectPanel,0,,
2038,DefineSpriteTag,__Packages.com.nitrome.throwgame.Tile,0,,
2039,DefineSpriteTag,__Packages.com.nitrome.throwgame.Character,0,,
2040,DefineSpriteTag,__Packages.com.nitrome.throwgame.VoodooDoll,0,,
2041,DefineSpriteTag,__Packages.com.nitrome.throwgame.Seagull,0,,
2042,DefineSpriteTag,__Packages.com.nitrome.throwgame.Anchor,0,,
2043,DefineSpriteTag,__Packages.com.nitrome.throwgame.Banana,0,,
2044,DefineSpriteTag,__Packages.com.nitrome.throwgame.Boulder,0,,
2045,DefineSpriteTag,__Packages.com.nitrome.throwgame.Cannon,0,,
